Entity Name,Entity Code,Shade Family,Hex Code,Feature Tag,Color Temperature,Tonality,Room,Popularity,Page Number,Position Number,Latest,Page URL,Complementary Shade 1 - Similar Tone,Similar Tone Hex,Complementary Shade 2 - Recommended Pairing,Recommended Pairing Hex,Complementary Shade 3 - Classic Opposite,Classic Opposite Hex,Complementary Shade 4 - Matched Tonality Opposite,Matched Tonality Opposite Hex,Suggested Wallpaper - Similar Tone,Similar Tone Wallpaper Hex,Suggested Wallpaper Link - Similar Tone,Suggested Wallpaper - Complementary,Complementary Wallpaper Hex,Suggested Wallpaper Link - Complementary,Suggested Texture - Complementary,Complementary Texture Hex,Suggested Texture Link - Complementary,Suggested Texture - Best Aesthetic Match,Best Aesthetic Match Hex,Suggested Texture Link - Best Aesthetic Match
air breeze,9436,off whites,#F3EDE8,Recommended,cool,light,all rooms,1,1,1,2200,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/air-breeze.html,dark kaapi-n (K197),#5E4C3E,mystic mountain-n (9713),#2B6764,scholar's blue-n (9685),#3A5164,stratos-n (9645),#DFE6EE,Ador - Serenade - Spring Day - Cream (AW02VH08N75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH08N75.jpg,Ador - Serenade - Princess - Teal (AW02VH02N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH02N75.jpg,Stucco Mirror (LIC1010CMB1005),#9AC0DC,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1010CMB1005.jpg,Stucco Marble (TXT1048CMB1179),#42AA9F,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1048CMB1179.jpg
button rose,8108,off whites,#F2E4DF,,cool,light,all rooms,2,1,2,2199,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/button-rose.html,caffeine (8653),#5B4942,midnight jade-n (9732),#2A6256,pensive prussian-n (9687),#305561,fairytale (7251),#DBE4E8,Ador - Serenade - Spring Day - Ballerina Pink (AW02VH10N75),#B6715A,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH10N75.jpg,Ador - Serenade - Princess - Royal Blue (AW02VH03N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH03N75.jpg,Antico (LIC1013CMB1006),#6AC3E9,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1006.jpg,Combing (TXT1014CMB1056),#88C2A5,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1014CMB1056.jpg
soft breeze,8116,off whites,#F7EAE5,Colour of the year,cool,light,all rooms,3,1,3,2198,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/soft-breeze.html,muffin crust-n (9930),#8B543F,meadow path (7541),#345A52,night edition (7429),#325766,light sky (7331),#C4DEE8,Ador - Serenade - Make Your Mark - Dark Red (AW02VH42N75),#B6715A,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH42N75.jpg,Ador - Serenade - Spring Day - Blue (AW02VH12N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH12N75.jpg,Antico (LIC1013CMB1006),#6AC3E9,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1006.jpg,Antico (LIC1013CMB1006),#6AC3E9,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1006.jpg
zinnia bloom,8716,off whites,#EFE3DF,,cool,light,all rooms,4,1,4,2197,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/zinnia-bloom.html,weathered oak (8741),#5B4842,monsoon midnight-n (9644),#38435F,blue quill-n (9683),#2A6071,gulmarg winters-n (9656),#C3E1EA,Ador - Serenade - Dazzler - Rich Brown (AW02VH48N75),#B6715A,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH48N75.jpg,Ador - Serenade - Cottage Leaf - Indigo (AW02VH27N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH27N75.jpg,Stucco Mirror (LIC1010CMB1006),#80ABB9,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1010CMB1006.jpg,Brushstrokes (TXT1009CMB1035),#35946A,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1009CMB1035.jpg
essence,8099,pinks,#F7E2E2,,cool,light,all rooms,5,1,5,2196,https://www.asianpaints.com/colour-catalogue/pink-wall-colours/essence.html,gulkand-n (K008),#7C4141,cobalt hit-n (9654),#2A5684,cape royal (8341),#3C5050,solitude (9228),#D1E3E3,Ador - Serenade - Princess Border - Peach (AW02VH50N75),#B6715A,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH50N75.jpg,Ador - Serenade - Flower Trail - River Blue (AW02VH32N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH32N75.jpg,Antico (LIC1013CMB1004),#E1EDED,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1004.jpg,Combing (TXT1014CMB1056),#88C2A5,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1014CMB1056.jpg
pink mist,8092,pinks,#F7E2E0,Recommended,cool,light,all rooms,6,1,6,2195,https://www.asianpaints.com/colour-catalogue/pink-wall-colours/pink-mist.html,rosewood rouge-n (K262),#8A4D4A,nori green-n (9748),#30795A,vanuatu blue-n (9698),#127E88,bird bath (7347),#D4E4E6,Sabyasachi Chapter 2: India Revival Project - Guldasta - Anaar (W109WI28S75),#B6715A,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI28S75.jpg,Ador - Serenade - Flower Trail - Pale Blue (AW02VH34N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH34N75.jpg,Brushstrokes (TXT1009CMB1033),#AECDD0,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1009CMB1033.jpg,Antico (LIC1013CMB1006),#6AC3E9,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1006.jpg
angel harp,8124,pinks,#F5E2E2,,cool,light,all rooms,7,1,7,2194,https://www.asianpaints.com/colour-catalogue/pink-wall-colours/angel-harp.html,gulkand-n (K008),#7C4141,armada (0U29),#35485A,midnight oil (8333),#484C4C,spring time (9211),#D4E8E9,Sabyasachi Chapter 2: India Revival Project - Lucknow Chintz - Gulaab Chandan (W109WI33S75),#B6715A,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI33S75.jpg,Ador - Serenade - Make Your Mark - River Blue (AW02VH40N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH40N75.jpg,Antico (LIC1013CMB1004),#E1EDED,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1004.jpg,Stucco Mirror (LIC1010CMB1005),#9AC0DC,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1010CMB1005.jpg
lucid dream,5182,pinks,#E7D3D3,Recommended,cool,light,all rooms,8,1,8,2193,https://www.asianpaints.com/colour-catalogue/pink-wall-colours/lucid-dream.html,milan red (8101),#7F4C4F,duck plume-n (9750),#325142,cool lagoon (7477),#335152,oceans whisper (7436),#CFE6E5,Sabyasachi Chapter 2: India Revival Project - Resham Jaal - Thandai (W109WI35S75),#B6715A,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI35S75.jpg,Ador - Serenade - Princess Border - Blue (AW02VH52N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH52N75.jpg,Ikkat (PLY1003RIM1006),#B2B5B5,https://www.asianpaints.com/content/dam/asian_paints/textures/room-shots/PLY1003RIM1006.png,Stucco Marble (TXT1048CMB1181),#1A87C3,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1048CMB1181.jpg
winged angel,8100,off whites,#F7EDE9,,cool,light,all rooms,9,2,1,2192,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/winged-angel.html,banyan trunk-n (K216),#6C5146,billiard felt-n (9725),#366F64,pigeon crest (X148),#2E5B6F,dusky iris (7235),#D5DADC,Sabyasachi Chapter 2: India Revival Project - Bel Buti - Anaar (W109WI43S75),#B6715A,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI43S75.jpg,Sabyasachi Chapter 2: India Revival Project - Cheent - Lapiz (W109WI36S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI36S75.jpg,Colourwash (TXT1012CMB1045),#C1D9E3,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1012CMB1045.jpg,Stucco Marble (TXT1048CMB1179),#42AA9F,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1048CMB1179.jpg
touch of fuschia,8140,off whites,#F6EDE9,,cool,light,all rooms,10,2,2,2191,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/touch-of-fuschia.html,rich chocolate (8645),#6B5044,midnight pine-n (9767),#33534D,peacock crest-n (9663),#0D648A,fairytale (7251),#DBE4E8,Sandtales - Desert Legend - Sand Earth (W145Z358N75),#B6715A,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z358N75-10x10.jpeg,Sabyasachi Chapter 2: India Revival Project - Travancore Chintz - Neel (W109WI40S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI40S75.jpg,Velour Classique (LIC1009CMB1012),#9EC2D6,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1009CMB1012.jpg,Antico (LIC1013CMB1007),#41B3D1,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1007.jpg
